SoC_pct,T0C,T5C,T10C,T15C,T20C,T25C,T30C
0,3319.909193326698,3319.909193326698,3319.909193326698,3319.909193326698,3319.909193326698,3319.909193326698,3319.909193326698
5,3319.909193326698,3319.909193326698,3319.909193326698,3319.909193326698,3319.909193326698,3319.909193326698,3319.909193326698
10,3330.5276663520262,3330.5276663520262,3330.5276663520262,3330.5276663520262,3330.5276663520262,3330.5276663520262,3330.5276663520262
15,3869.0135957259686,3869.0135957259686,3869.0135957259686,3869.0135957259686,3869.0135957259686,3869.0135957259686,3869.0135957259686
20,9876.960377394258,9876.961983938218,9877.61011003019,9882.399150082945,9883.047276174917,9883.048882718878,9883.048882718878
25,26378.096366717524,26378.17712501502,26410.75734753842,26651.494439479437,26684.07466200283,26684.155420300325,26684.155420300325
30,33400.1706430844,33401.09861773862,33755.487654118646,36371.80326964578,36728.768399833316,36728.29368845362,36726.51503567314
35,17121.107047323545,17125.94030240153,18082.432094003532,25036.05498392914,26117.81871616211,26052.071139316944,25963.169525725196
40,7885.910647182627,7914.360418669541,9040.498285848971,16159.94032665333,18481.766121551893,17741.338782487655,16796.067041349415
45,7726.50908930254,7785.857941154669,8891.234748878924,14281.753237290692,16855.428222090053,14887.306812018049,12626.437398734372
50,11184.614319134722,11240.411135824073,12032.447622471564,16101.450362593727,15045.6653199942,13415.577887483569,11985.068490265006
55,7253.414734114764,7555.538161518335,8610.38380334868,13949.059904511983,13422.5260906463,13291.710677681913,13344.52742973271
60,2808.985198172109,3499.5502879660908,4813.4952827903,7709.895173018781,8182.126472523498,9547.677885950246,10714.235882397294
65,1669.755355647901,2095.939855160778,3424.059444498938,4266.4509242664535,5035.888431710288,7524.479660457098,9607.757351920132
70,1515.7864668734655,1673.277463961718,2715.9107864113075,3426.529680784359,4718.588002191226,8009.810787598495,11394.76883913766
75,1647.9271482111958,1732.3184612216949,2422.7376757881975,3219.4250191045053,5106.839900998659,9080.259542825583,12871.240081575135
80,2038.7779992279518,2095.1845463785285,2590.120501356755,3477.5319223718357,5673.691920551603,8526.30290355206,12148.668277307446
85,3919.132213443756,3938.6198570391466,4126.353402250033,4690.381734437042,6464.717082233138,7875.6960772133125,10825.001601954142
90,6960.492168678653,6962.269736709546,6985.286249520169,7136.734207817248,7737.95799622401,8131.486670069991,9165.48925689816
95,8241.68751249228,8241.724093777393,8242.745969066853,8255.223634769349,8308.986010749162,8342.511041065589,8435.986515004373
100,8362.357939060817,8362.357973755414,8362.372309266275,8362.61246916349,8363.673407813452,8364.326406502632,8366.176925102114
