SoC_pct,T0C,T5C,T10C,T15C,T20C,T25C,T30C
0,2.857644529830609,2.857644529830609,2.857644529830609,2.857644529830609,2.857644529830609,2.857644529830609,2.857644529830609
1,2.892196235209585,2.892196235209585,2.892196235209585,2.892196235209585,2.892196235209585,2.892196235209585,2.892196235209585
2,2.9492666928599385,2.9492666928599385,2.9492666928599385,2.9492666928599385,2.9492666928599385,2.9492666928599385,2.9492666928599385
3,3.0151780695793,3.0151780695793,3.0151780695793,3.0151780695793,3.0151780695793,3.0151780695793,3.0151780695793
4,3.0819146822562407,3.0819146822562407,3.0819146822562407,3.0819146822562407,3.0819146822562407,3.0819146822562407,3.0819146822562407
5,3.1465136176746786,3.1465136176746786,3.1465136176746786,3.1465136176746786,3.1465136176746786,3.1465136176746786,3.1465136176746786
6,3.208092498386167,3.208092498386167,3.208092498386167,3.208092498386167,3.208092498386167,3.208092498386167,3.208092498386167
7,3.266260233569757,3.266260233569757,3.266260233569757,3.266260233569757,3.266260233569757,3.266260233569757,3.266260233569757
8,3.3206969445511314,3.3206969445511314,3.3206969445511314,3.3206969445511314,3.3206969445511314,3.3206969445511314,3.3206969445511314
9,3.3710895218594654,3.3710895218594654,3.3710895218594654,3.3710895218594654,3.3710895218594654,3.3710895218594654,3.3710895218594654
10,3.4171248560239356,3.4171248560239356,3.4171248560239356,3.4171248560239356,3.4171248560239356,3.4171248560239356,3.4171248560239356
11,3.458490034527298,3.458490034527298,3.458490034527298,3.458490034527298,3.458490034527298,3.458490034527298,3.458490034527298
12,3.4948744592187637,3.4948744592187637,3.4948744592187637,3.4948744592187637,3.4948744592187637,3.4948744592187637,3.4948744592187637
13,3.525984642909816,3.525984642909816,3.525984642909816,3.525984642909816,3.525984642909816,3.525984642909816,3.525984642909816
14,3.5516083442944923,3.5516083442944923,3.5516083442944923,3.5516083442944923,3.5516083442944923,3.5516083442944923,3.5516083442944923
15,3.571777831020543,3.571777831020543,3.571777831020543,3.571777831020543,3.571777831020543,3.571777831020543,3.571777831020543
16,3.5869797531799157,3.5869797531799157,3.5869797531799157,3.5869797531799157,3.5869797531799157,3.5869797531799157,3.5869797531799157
17,3.59818042455497,3.59818042455497,3.59818042455497,3.59818042455497,3.59818042455497,3.59818042455497,3.59818042455497
